chrom	length	bases	mean	min	max
1	249250621	943573155	3.79	0	1620
2	243199373	800956727	3.29	0	1610
3	198022430	668046651	3.37	0	1253
4	191154276	524025652	2.74	0	1132
5	180915260	553376375	3.06	0	1307
6	171115067	580612532	3.39	0	1293
7	159138663	479241091	3.01	0	1319
8	146364022	421257518	2.88	0	1279
9	141213431	412122721	2.92	0	1511
10	135534747	447165459	3.30	0	960
11	135006516	527096695	3.90	0	1556
12	133851895	524790449	3.92	0	1013
13	115169878	262291180	2.28	0	930
14	107349540	328964449	3.06	0	1565
15	102531392	322264856	3.14	0	1105
16	90354753	325064808	3.60	0	942
17	81195210	425570278	5.24	0	1449
18	78077248	215130305	2.76	0	772
19	59128983	335261676	5.67	0	1234
20	63025520	242945976	3.85	0	1333
21	48129895	111769830	2.32	0	575
22	51304566	157725171	3.07	0	1217
X	155270560	451404533	2.91	0	1070
Y	59373566	1374362	0.02	0	395
MT	16569	4662360	281.39	0	1223
GL000207.1	4262	12005	2.82	0	12
GL000226.1	15008	16599	1.11	0	22
GL000229.1	19913	85095	4.27	0	103
GL000231.1	27386	31451	1.15	0	33
GL000210.1	27682	1447	0.05	0	7
GL000239.1	33824	3284	0.10	0	4
GL000235.1	34474	28822	0.84	0	58
GL000201.1	36148	521	0.01	0	5
GL000247.1	36422	1310	0.04	0	3
GL000245.1	36651	145	0.00	0	1
GL000197.1	37175	227	0.01	0	1
GL000203.1	37498	14280	0.38	0	9
GL000246.1	38154	1250	0.03	0	2
GL000249.1	38502	97	0.00	0	1
GL000196.1	38914	373	0.01	0	2
GL000248.1	39786	566	0.01	0	2
GL000244.1	39929	152	0.00	0	1
GL000238.1	39939	3497	0.09	0	12
GL000202.1	40103	49793	1.24	0	9
GL000234.1	40531	69898	1.72	0	22
GL000232.1	40652	85708	2.11	0	27
GL000206.1	41001	464	0.01	0	1
GL000240.1	41933	2003	0.05	0	2
GL000236.1	41934	366	0.01	0	1
GL000241.1	42152	66973	1.59	0	75
GL000243.1	43341	1054	0.02	0	5
GL000242.1	43523	1099	0.03	0	1
GL000230.1	43691	19606	0.45	0	11
GL000237.1	45867	29020	0.63	0	34
GL000233.1	45941	8030	0.17	0	7
GL000204.1	81310	130714	1.61	0	10
GL000198.1	90085	78194	0.87	0	20
GL000208.1	92689	71499	0.77	0	36
GL000191.1	106433	3322	0.03	0	2
GL000227.1	128374	1625	0.01	0	2
GL000228.1	129120	8855	0.07	0	12
GL000214.1	137718	92388	0.67	0	116
GL000221.1	155397	4979	0.03	0	6
GL000209.1	159169	164829	1.04	0	152
GL000218.1	161147	33803	0.21	0	17
GL000220.1	161802	10464571	64.68	0	4343
GL000213.1	164239	1821	0.01	0	2
GL000211.1	166566	137301	0.82	0	316
GL000199.1	169874	107412	0.63	0	56
GL000217.1	172149	5631	0.03	0	6
GL000216.1	172294	590170	3.43	0	218
GL000215.1	172545	1452	0.01	0	4
GL000205.1	174588	710155	4.07	0	377
GL000219.1	179198	240004	1.34	0	34
GL000224.1	179693	303556	1.69	0	60
GL000223.1	180455	3229	0.02	0	2
GL000195.1	182896	661621	3.62	0	147
GL000212.1	186858	79460	0.43	0	119
GL000222.1	186861	4349	0.02	0	2
GL000200.1	187035	593	0.00	0	1
GL000193.1	189789	98912	0.52	0	33
GL000194.1	191469	15001	0.08	0	5
GL000225.1	211173	1161247	5.50	0	356
GL000192.1	547496	52133	0.10	0	51
total	3101804739	10082458770	3.25	0	4343
